job_id,jobName,custName,salaryDesc,jobAddr,appearDate,applyCnt,link
14049553,IoT開發工程師,錸特霖科技股份有限公司,"月薪40,000~55,000元",桃園市龜山區,20260105,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8d4pd?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8d4pd?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bkdov?jobsource=joblist_search'}"
12037366,【數位技術】智慧製造系統開發工程師(CIM/MES)-龍潭廠-R08,友達光電股份有限公司,待遇面議,桃園市龍潭區,20260109,00005,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7603a?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7603a?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/12nokxe8?jobsource=joblist_search'}"
13102308,軟體開發工程師(H-2025023),信通交通器材股份有限公司,待遇面議,桃園市龍潭區,20251231,00001,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7stt0?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7stt0?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/59g68g0?jobsource=joblist_search'}"
14926275,軟體工程師,弘凱光電股份有限公司,待遇面議,桃園市桃園區,20260106,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8vx6r?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8vx6r?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct1kn8w?jobsource=joblist_search'}"
14734729,AI應用開發工程師(EDA),CHPT_中華精測科技股份有限公司,待遇面議,桃園市平鎮區,20260105,00003,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8rte1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8rte1?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct2ibfs?jobsource=joblist_search'}"
13017676,軟體測試工程師,樺康智雲股份有限公司,"月薪35,000~55,000元",桃園市中壢區,20251210,00004,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7r0i4?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7r0i4?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bm4ln?jobsource=joblist_search'}"
14646907,全端工程師,智遊旅程股份有限公司,"月薪60,000元以上",桃園市中壢區,20260109,0,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pxmj?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pxmj?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6blts4?jobsource=joblist_search'}"
14901256,Iot後端工程師,罡聖科技股份有限公司,待遇面議,桃園市桃園區,20260109,00002,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8vdvs?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8vdvs?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bmd23?jobsource=joblist_search'}"
14734694,EDA軟體工程師,CHPT_中華精測科技股份有限公司,待遇面議,桃園市平鎮區,20260105,00001,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8rtd2?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8rtd2?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/ct2ibfs?jobsource=joblist_search'}"
13510047,軟體應用工程師,艾沙技術股份有限公司,待遇面議,桃園市桃園區,20260104,00002,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/81kf3?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/81kf3?jobsource=joblist_search', 'cust': '//www.104.com.tw/company/1a2x6bjrj8?jobsource=joblist_search'}"
